"model","deviceCategory","deviceSku","simSku","prepaidSku","cpoSku","cpoPrepaidSku","visionSku","upcCode","url"
"Verizon Slim Case Clear for Samsung Galaxy S21 FE","","VZW702008757-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24652.html"
"InvisibleShield Glass Elite VisionGuard+ for Samsung Galaxy S21 FE","","ZAG200108672-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24557.html"
"UAG Pathfinder for Samsung Galaxy S21 FE 5G - Black","","UAG213127114040","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24703.html"
"Samsung Clear Standing Cover for Samsung Galaxy S21 FE 5G - Clear","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24637.html"
"Spigen Core Armor for Samsung Galaxy S21 FE 5G - Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=25399.html"
"OtterBox Defender Series Pro for Samsung Galaxy S21 FE - Black","","77-85101","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24513.html"
"Tech21 Evo Check for Samsung Galaxy S21 FE 5G - Smokey / Black","","T21-9080","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24483.html"
"Incipio Duo for Samsung Galaxy S21 FE 5G - Salsa Red/Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24753.html"
"Speck Presidio Exotech for Samsung Galaxy S21 FE 5G - Coastal Blue","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=26043.html"
"Case-Mate Twinkle Ombre for Samsung Galaxy S21 FE 5G - Stardust","","CM046292-08","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24748.html"
"Pelican Glass Lens Protector for Samsung Galaxy S21 FE 5G (R9) - Clear","","PP051972-08","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=27884.html"
"Verizon Blue Light Tempered Glass Screen Protector for Samsung Galaxy S21 FE 5G - Clear","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24811.html"
"Kate Spade New York Protective Hardshell Case for Samsung Galaxy S21 FE 5G - Hollyhock Floral Clear","","KSSA-076-HHCCS-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24313.html"
"Galaxy S21 FE 5G","5G Smartphone","SMG990UZAV","DFILLSIM5G-SA-A","N/A","N/A","N/A","53540","887276552019","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10213.html"
"Galaxy S21 FE 5G (2022)","5G Smartphone","SMG990ULVV2","DFILLSIM5G-SA-A","N/A","N/A","N/A","59191","N/A","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10351.html"
"Galaxy S21 FE 5G Best Buy","5G Smartphone","SMG990UZBV","DFILLSIM5G-SA-A","N/A","N/A","N/A","53544","N/A","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=10222.html"
"InvisibleShield Glass Elite VisionGuard+ for Samsung Galaxy S21 FE","","ZAG200108672-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24557.html"
"Verizon Slim Case Clear for Samsung Galaxy S21 FE","","VZW702008757-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24652.html"
